"Design.";"model_file";"Performance";"Pressure.Drop.1";"Toutlet.Average";"Toutlet.Standard.Deviation"
1;"mf_(1_0,200,90_0,12,12,4).stl";"-1";"1.52703";"17.0153";"0.609736"
2;"mf_(1_0,200,112_5,12,0,4).stl";"-0.958633";"1.51955";"17.0395";"0.588369"
3;"mf_(1_0,200,112_5,12,0,6).stl";"-0.985644";"1.53721";"17.0193";"0.597057"
4;"mf_(1_0,200,112_5,12,0,8).stl";"-1.0057";"1.55481";"17.0297";"0.602636"
5;"mf_(1_0,200,112_5,12,12,4).stl";"-1";"1.52703";"17.0153";"0.609736"
6;"mf_(1_0,200,112_5,12,12,6).stl";"-1.03103";"1.53706";"17.0185";"0.624767"
7;"mf_(1_0,200,112_5,12,12,8).stl";"-1.03268";"1.57311";"17.0172";"0.611333"
8;"mf_(1_0,200,112_5,16,0,4).stl";"-1.02316";"1.55322";"17.0254";"0.613759"
9;"mf_(1_0,200,112_5,16,0,6).stl";"-1.023";"1.57259";"17.0539";"0.606948"
10;"mf_(1_0,200,112_5,16,0,8).stl";"-1.03965";"1.5605";"17.0477";"0.621704"
11;"mf_(1_0,200,112_5,16,12,4).stl";"-1.02363";"1.55318";"17.0582";"0.615238"
12;"mf_(1_0,200,112_5,16,12,6).stl";"-0.998856";"1.57848";"17.0455";"0.589576"
13;"mf_(1_0,200,112_5,16,12,8).stl";"-1.00445";"1.555";"17.0405";"0.602184"
14;"mf_(1_0,200,112_5,20,0,4).stl";"-0.989038";"1.54188";"17.0293";"0.597625"
15;"mf_(1_0,200,112_5,20,0,6).stl";"-1.01201";"1.56784";"17.022";"0.601003"
16;"mf_(1_0,200,112_5,20,0,8).stl";"-1.0632";"1.62612";"17.0063";"0.608381"
17;"mf_(1_0,200,112_5,20,12,4).stl";"-1.04696";"1.55971";"17.013";"0.625237"
18;"mf_(1_0,200,112_5,20,12,6).stl";"-1.02477";"1.55296";"17.0106";"0.614316"
19;"mf_(1_0,200,112_5,20,12,8).stl";"-1.07517";"1.58187";"17.0078";"0.633401"
20;"mf_(1_0,200,112_5,24,0,4).stl";"-1.0146";"1.55769";"17.0238";"0.606704"
21;"mf_(1_0,200,112_5,24,0,6).stl";"-1.02023";"1.59889";"17.0067";"0.593068"
22;"mf_(1_0,200,112_5,24,0,8).stl";"-1.0505";"1.59297";"17.011";"0.614044"
23;"mf_(1_0,200,112_5,24,12,4).stl";"-1.00997";"1.5444";"17.0288";"0.609364"
24;"mf_(1_0,200,112_5,24,12,6).stl";"-1.06748";"1.57292";"16.9966";"0.631885"
25;"mf_(1_0,200,112_5,24,12,8).stl";"-1.02551";"1.59484";"17.0326";"0.598837"
26;"mf_(1_0,200,135_0,12,0,4).stl";"-0.958633";"1.51955";"17.0395";"0.588369"
27;"mf_(1_0,200,135_0,12,0,6).stl";"-0.985644";"1.53721";"17.0193";"0.597057"
28;"mf_(1_0,200,135_0,12,0,8).stl";"-1.0057";"1.55481";"17.0297";"0.602636"
29;"mf_(1_0,200,135_0,12,12,4).stl";"-1";"1.52703";"17.0153";"0.609736"
30;"mf_(1_0,200,135_0,12,12,6).stl";"-1.03103";"1.53706";"17.0185";"0.624767"
31;"mf_(1_0,200,135_0,12,12,8).stl";"-1.03268";"1.57311";"17.0172";"0.611333"
32;"mf_(1_0,200,135_0,16,0,4).stl";"-1.02316";"1.55322";"17.0254";"0.613759"
33;"mf_(1_0,200,135_0,16,0,6).stl";"-1.023";"1.57259";"17.0539";"0.606948"
34;"mf_(1_0,200,135_0,16,0,8).stl";"-1.03965";"1.5605";"17.0477";"0.621704"
35;"mf_(1_0,200,135_0,16,12,4).stl";"-1.02363";"1.55318";"17.0582";"0.615238"
36;"mf_(1_0,200,135_0,16,12,6).stl";"-0.998856";"1.57848";"17.0455";"0.589576"
37;"mf_(1_0,200,135_0,16,12,8).stl";"-1.00445";"1.555";"17.0405";"0.602184"
38;"mf_(1_0,200,135_0,20,0,4).stl";"-0.989038";"1.54188";"17.0293";"0.597625"
39;"mf_(1_0,200,135_0,20,0,6).stl";"-1.01201";"1.56784";"17.022";"0.601003"
40;"mf_(1_0,200,135_0,20,0,8).stl";"-1.0632";"1.62612";"17.0063";"0.608381"
41;"mf_(1_0,200,135_0,20,12,4).stl";"-1.04696";"1.55971";"17.013";"0.625237"
42;"mf_(1_0,200,135_0,20,12,6).stl";"-1.02477";"1.55296";"17.0106";"0.614316"
