"Design.";"model_file";"Performance";"Pressure.Drop.1";"Toutlet.Average";"Toutlet.Standard.Deviation"
1;"mf_[4_0,200,112_5,12,0,4].stl";"-1";"1.64013";"17.0359";"0.591365"
2;"mf_[4_0,200,112_5,12,0,6].stl";"-0.994649";"1.65885";"17.0263";"0.581118"
3;"mf_[4_0,200,112_5,12,0,8].stl";"-1.02829";"1.6188";"17.0326";"0.615666"
4;"mf_[4_0,200,112_5,12,12,4].stl";"-0.966566";"1.62352";"17.0118";"0.576745"
5;"mf_[4_0,200,112_5,12,12,6].stl";"-1e+99";"";"";""
6;"mf_[4_0,200,112_5,12,12,8].stl";"-1e+99";"";"";""
7;"mf_[4_0,200,112_5,16,0,4].stl";"-1e+99";"";"";""
8;"mf_[4_0,200,112_5,24,0,4].stl";"-1.11605";"1.74309";"17.0281";"0.622598"
9;"mf_[4_0,200,112_5,24,0,6].stl";"-1.04719";"1.68515";"17.0314";"0.602884"
10;"mf_[4_0,200,112_5,24,12,4].stl";"-1.00601";"1.63879";"17.0517";"0.59595"
11;"mf_[4_0,200,112_5,24,12,6].stl";"-1.01809";"1.59626";"17.0065";"0.616857"
12;"mf_[4_0,200,112_5,24,12,8].stl";"-1.08881";"1.73649";"17.0458";"0.609483"
13;"mf_[4_0,200,135_0,12,0,4].stl";"-1";"1.64013";"17.0359";"0.591365"
14;"mf_[4_0,200,135_0,12,0,6].stl";"-0.994649";"1.65885";"17.0263";"0.581118"
15;"mf_[4_0,200,135_0,12,0,8].stl";"-1.02829";"1.6188";"17.0326";"0.615666"
16;"mf_[4_0,200,135_0,12,12,4].stl";"-0.966566";"1.62352";"17.0118";"0.576745"
17;"mf_[4_0,200,135_0,12,12,6].stl";"-1e+99";"";"";""
18;"mf_[4_0,200,135_0,12,12,8].stl";"-1e+99";"";"";""
19;"mf_[4_0,200,135_0,16,0,4].stl";"-1e+99";"";"";""
20;"mf_[4_0,200,135_0,24,0,4].stl";"-1.11605";"1.74309";"17.0281";"0.622598"
21;"mf_[4_0,200,135_0,24,0,6].stl";"-1.04719";"1.68515";"17.0314";"0.602884"
22;"mf_[4_0,200,135_0,24,12,4].stl";"-1.00601";"1.63879";"17.0517";"0.59595"
23;"mf_[4_0,200,135_0,24,12,6].stl";"-1.01809";"1.59626";"17.0065";"0.616857"
24;"mf_[4_0,200,135_0,24,12,8].stl";"-1.08881";"1.73649";"17.0458";"0.609483"
25;"mf_[4_0,200,90_0,12,0,4].stl";"-1";"1.64013";"17.0359";"0.591365"
26;"mf_[4_0,200,90_0,12,0,6].stl";"-0.994649";"1.65885";"17.0263";"0.581118"
27;"mf_[4_0,200,90_0,12,0,8].stl";"-1.02829";"1.6188";"17.0326";"0.615666"
28;"mf_[4_0,200,90_0,12,12,4].stl";"-0.966566";"1.62352";"17.0118";"0.576745"
29;"mf_[4_0,200,90_0,12,12,6].stl";"-1e+99";"";"";""
30;"mf_[4_0,200,90_0,12,12,8].stl";"-1e+99";"";"";""
31;"mf_[4_0,200,90_0,16,0,4].stl";"-1e+99";"";"";""
32;"mf_[4_0,200,90_0,24,0,4].stl";"-1.11605";"1.74309";"17.0281";"0.622598"
33;"mf_[4_0,200,90_0,24,0,6].stl";"-1.04719";"1.68515";"17.0314";"0.602884"
34;"mf_[4_0,200,90_0,24,12,4].stl";"-1.00601";"1.63879";"17.0517";"0.59595"
35;"mf_[4_0,200,90_0,24,12,6].stl";"-1.01809";"1.59626";"17.0065";"0.616857"
36;"mf_[4_0,200,90_0,24,12,8].stl";"-1.08881";"1.73649";"17.0458";"0.609483"
